num_words,avg_sentence_length,avg_word_length
347,17.35,5.002881844380403
988,17.642857142857142,5.452429149797571
177463,13.357142857142858,5.226317598598017
8774,12.41018387553041,5.284476863460223
4221,12.234782608695653,5.027007818052594
6382,16.66318537859008,5.67361328737073
287,15.944444444444445,5.83623693379791
1841,16.736363636363638,5.477457903313416
1364,17.714285714285715,5.525659824046921
460,14.838709677419354,5.258695652173913
3065,4.1531165311653115,4.8557911908646005
542,14.263157894736842,5.391143911439114
43796,11.172448979591836,4.973878893049593
4278,11.625,5.439691444600281
4534,13.993827160493828,5.543449492721659
2211,19.741071428571427,3.366350067842605
185040,15.094216494004405,4.701680717682663
1161,14.333333333333334,5.524547803617571
813,21.972972972972972,5.982779827798278
1584,22.309859154929576,5.930555555555555
204,13.6,5.686274509803922
7173,11.12093023255814,5.232120451693852
3501,18.329842931937172,5.9168808911739506
3121,13.569565217391304,5.138417173982698
5577,12.646258503401361,4.9723865877712035
8462,11.11957950065703,5.412077523044197
2307,16.597122302158272,5.624620719549198
53730,11.634906886097879,5.105806811836962
105953,15.26480334245786,5.648306324502374
1494,9.39622641509434,5.072958500669344
4874,23.545893719806763,5.0475995075913005
1012,23.0,6.092885375494071
1789,10.648809523809524,6.051984348798212
213581,12.982858184912772,5.247559473923242
3281,15.33177570093458,5.305394696738799
10411,12.981296758104738,5.093266737104985
3275,8.948087431693988,5.89648854961832
2487,11.51388888888889,5.030558906312827
279,16.41176470588235,6.652329749103942
84087,13.830098684210526,5.359056691284027
471,13.852941176470589,5.556263269639066
219,16.846153846153847,6.219178082191781
109,9.083333333333334,5.889908256880734
472,19.666666666666668,5.790254237288136
1052,16.4375,5.499049429657795
147,21.0,4.6938775510204085
41,10.25,6.853658536585366
1185,14.62962962962963,5.406751054852321
2908,15.305263157894737,5.221801925722146
12082,2.7634949679780423,5.162390332726369
1628,10.369426751592357,5.113022113022113
5164,12.625916870415647,5.576297443841983
1163,16.380281690140844,5.823731728288908
146013,11.646566164154104,5.420435166731729
2051,7.739622641509434,5.901511457825451
2534,17.238095238095237,5.8954222573007105
11029,11.370103092783506,4.912775410281984
141616,9.560896570348365,5.589149531126426
1362,36.810810810810814,5.6020558002936856
31563,19.363803680981594,5.621677280359915
7834,9.707558859975217,4.967577227470002
1143,18.43548387096774,5.914260717410324
412,21.68421052631579,6.174757281553398
1470,11.76,5.037414965986395
463,10.767441860465116,5.038876889848812
1981,12.863636363636363,5.238263503281171
151,18.875,5.423841059602649
3091,19.198757763975156,5.637657715949531
7257,23.038095238095238,5.261953975471958
1730,21.625,5.965895953757226
810,16.2,5.8160493827160495
1305,15.0,5.934099616858237
1556,18.523809523809526,5.908097686375322
110,12.222222222222221,6.236363636363636
745,14.326923076923077,5.434899328859061
154999,15.392154915590863,5.1176072103690995
2263,13.969135802469136,5.4078656650463985
301,13.681818181818182,4.946843853820598
2457,16.058823529411764,5.223850223850224
486,21.130434782608695,5.302469135802469
1047,14.746478873239436,5.574021012416428
2114,17.616666666666667,5.6007568590350045
893,19.41304347826087,5.856662933930571
338317,15.574854985728754,5.601110792540724
1333,6.0867579908675795,6.1282820705176295
505,18.035714285714285,6.01980198019802
4002,12.90967741935484,5.456271864067966
211,11.105263157894736,6.161137440758294
921,11.37037037037037,5.089033659066232
244,17.428571428571427,5.975409836065574
112,16.0,5.633928571428571
4748,10.145299145299145,5.684709351305813
3017,14.78921568627451,5.442161087172688
2093,12.608433734939759,5.557572861920688
1828,15.758620689655173,5.256017505470459
621,7.7625,5.592592592592593
1894,18.21153846153846,5.099260823653643
4392,12.477272727272727,5.191712204007286
420,8.076923076923077,5.292857142857143
12683,11.498640072529465,4.768114799337696
1997,15.724409448818898,5.237856785177767
2383,9.97071129707113,4.868233319345363
1501,23.092307692307692,6.096602265156562
298,8.764705882352942,5.271812080536913
836,4.287179487179487,6.0227272727272725
889,14.573770491803279,5.773903262092238
50418,13.726653961339505,5.211412590741402
181,9.05,4.994475138121547
1789,30.322033898305083,5.800447177193963
15921,13.561328790459966,5.0644431882419445
1275,20.901639344262296,5.808627450980392
45479,22.55902777777778,5.754260208008092
1595,13.181818181818182,5.3836990595611285
60373,7.642151898734177,5.1422821459924135
2435,20.123966942148762,5.57741273100616
